Country/Region,Domestic 2024,Domestic 2023,Foreigner 2024,Foreigner 2023
KUALA LUMPUR,9781082,9712689,12129440,8701780
PUTRAJAYA,555827,508102,221593,151626
SELANGOR,6131477,5985054,3349909,2787168
PULAU PINANG,5236584,4795567,3000488,2476959
PERAK,4186503,4274117,970611,867665
KEDAH,3237364,2761947,1985063,1561751
PERLIS,313443,317353,8567,6730
NEGERI SEMBILAN,2071056,2097075,459715,340372
MELAKA,3392342,3363245,1516524,1538630
JOHOR,7394268,6055964,3003542,3531649
PAHANG,11550656,10222376,2931858,3212597
TERENGGANU,2412518,2378908,281579,206327
KELANTAN,1389452,1343953,102252,59273
PENINSULAR MALAYSIA,57652572,53816349,29961141,25442529
SABAH,4257096,4489761,3135973,2221221
LABUAN,399785,591083,51978,77075
SARAWAK,5739958,5402584,1445113,1218196
