MONTH,2024,2023,2022,2021,2020,2019
JANUARY,2431941,2084411,50893,32380,2898879,3020452
FEBURARY,2697941,1904725,45661,29891,1993045,2860558
MARCH,3136479,2230860,65695,36399,1029983,3130660
APRIL,2799026,2169139,567299,31796,15153,2892282
MAY,3004321,2255314,971432,31170,14135,2897047
JUNE,3409290,2285786,1315133,27286,13942,3146240
JULY,3524200,2670970,1606576,28000,24797,3204703
AUGUST,3662108,2578031,1684555,28119,19169,3106471
SEPTEMBER,3112151,2611063,1774135,31000,23417,2756168
OCTOBER,3371216,2575393,1921643,33435,19645,2716279
NOVEMBER,3007506,2540035,1912054,34338,22028,2618366
DECEMBER,3805306,3058581,2352340,56051,27185,2696399
